Carlos Correa,1690,0,Carlos Correa,Gold,Twins,84,Live,SS,False,,3.0,2,83,True,True,CORE,True,2023-04-12 13:45:36.214761
Josh Donaldson,1500,0,Josh Donaldson,Gold,Athletics,84,All-Star,3B,False,,,,84,False,False,CORE,True,2023-04-12 13:45:36.214761
Vladimir Guerrero Jr.,3299,2929,Vladimir Guerrero Jr.,Gold,Blue Jays,84,Live,1B,False,,5.0,1,86,True,True,CORE,True,2023-04-12 13:45:36.214761
Alejandro Kirk,1795,1527,Alejandro Kirk,Gold,Blue Jays,84,Live,C,False,,4.0,1,85,True,True,CORE,True,2023-04-12 13:45:36.214761
Pete Alonso,1850,1602,Pete Alonso,Gold,Mets,84,Live,1B,False,,5.0,1,86,True,True,CORE,True,2023-04-12 13:45:36.214761
Dominic Fletcher,1800,1563,Dominic Fletcher,Gold,Diamondbacks,84,World Baseball Classic,CF,False,,,,84,False,False,CORE,True,2023-04-12 13:45:36.214761
Darryl George,1750,1552,Darryl George,Gold,Free Agents,84,World Baseball Classic,1B,False,,,,84,False,False,CORE,True,2023-04-12 13:45:36.214761
Vance Worley,1789,1565,Vance Worley,Gold,Free Agents,84,World Baseball Classic,SP,False,,,,84,False,False,CORE,True,2023-04-12 13:45:36.214761
Roansy Contreras,1849,1551,Roansy Contreras,Gold,Pirates,84,World Baseball Classic,SP,False,,,,84,False,False,CORE,True,2023-04-12 13:45:36.214761
Andres Munoz,1700,0,Andres Munoz,Gold,Mariners,84,Live,RP,False,,,,84,False,True,CORE,True,2023-04-12 13:45:36.214761
Juan Soto,1980,1683,Juan Soto,Gold,Padres,83,Live,LF,False,,5.0,1,87,True,True,CORE,True,2023-04-12 13:45:36.214761
Dansby Swanson,1915,1669,Dansby Swanson,Gold,Cubs,83,Live,SS,False,,4.0,1,84,True,True,CORE,True,2023-04-12 13:45:36.214761
Julio Urias,1672,1567,Julio Urias,Gold,Dodgers,83,Live,SP,False,,,,83,False,True,CORE,True,2023-04-12 13:45:36.214761
Marcus Semien,1404,1202,Marcus Semien,Gold,Rangers,83,Live,2B,False,,5.0,1,86,True,True,CORE,True,2023-04-12 13:45:36.214761
